Latitude,Longitude,Altitude
51.3908057,10.3170877,330.0
49.4064958,8.6846006,116.0
49.9511828,8.4738944,90.0
52.3076382,8.8205329,53.0
52.1629534,10.8982325,275.0
49.6490831,9.0638569,540.0
49.6809956,10.2852741,268.0
52.4456046,10.0016769,54.0
51.3237182,12.5719314,131.0
50.0692254,10.3124456,241.0
49.7043056,10.1387811,200.0
50.2106168,8.5597357,276.0
52.3205665,10.2267134,68.0
50.155179,9.2241727,414.0
50.5544232,9.6720522,261.0
52.0947087,11.6626107,46.0
51.4033304,8.7658872,405.0
49.4513662,8.6751094,128.0
49.4607053,10.9333529,352.0
50.0322329,12.1835808,516.0
52.1296278,11.6313573,63.0
51.4351346,13.218417,95.0
50.9506335,11.0402035,324.0
52.4408386,9.6314543,59.0
52.2479421,10.7546908,222.0
52.3192126,10.233917,69.0
50.6841299,9.9260526,343.0
52.2457711,10.816579,158.0
49.0415473,11.3790488,439.0
49.4644684,10.9255918,361.0
50.2954783,8.4782515,460.0
49.395406,9.0078741,319.0
52.4185449,9.5888084,54.0
49.8906387,10.8882242,241.0
49.1545969,9.3696144,233.0
50.0711766,8.6692649,118.0
52.2088066,10.8038577,271.0
49.3375255,10.7884516,413.0
51.5525142,8.5588218,236.0
52.4559907,9.5477825,50.0
49.0675323,10.53081,656.0
49.0676792,10.52817,653.0
49.4641311,10.9344061,360.0
49.8947247,10.8887846,256.0
49.3157286,11.0849533,335.0
52.4739401,9.7559296,51.0
49.2501277,10.4771339,451.0
52.2615557,9.0508281,70.0
50.9813234,10.3622012,227.0
52.1652825,10.8824595,266.0
50.9269879,11.5823995,158.0
49.951524,8.4576945,91.0
52.261228,9.0433929,61.0
50.636704,9.3959369,298.0
49.3597559,8.8114328,141.0
49.8016131,9.9441499,186.0
50.2921827,8.4725745,452.0
49.8015801,9.9434954,186.0
50.6049834,9.3910789,386.0
52.465069,13.3256962,51.0
49.0314758,12.2082715,404.0
50.0311859,10.513114,227.0
50.2842653,8.4782217,484.0
50.2826693,8.4720591,449.0
50.7395159,8.6305497,220.0
50.7158266,12.7700254,465.0
49.3166969,8.5766891,107.0
52.0992802,11.5745327,76.0
49.4963572,9.313531,336.0
50.6406943,9.3975591,306.0
49.7977123,9.9353877,182.0
51.9002829,9.1026858,140.0
50.7081633,12.7772935,434.0
49.8608276,8.5409296,92.0
49.4666602,8.7358889,328.0
49.7988778,9.939826,183.0
52.3571988,9.2831603,58.0
49.9254218,9.947794,296.0
49.1459845,9.2206664,162.0
52.1985265,10.7605508,245.0
52.1211108,10.5933831,110.0
49.1737016,12.1164133,386.0
51.9152104,9.1496629,136.0
51.9149306,9.1492549,137.0
49.4062631,11.5166453,598.0
49.2763762,12.2752665,423.0
50.5796838,9.3625294,401.0
49.3683109,12.1523106,358.0
49.570614,12.1221838,422.0
49.5711801,12.1234735,425.0
51.7435134,10.2291237,201.0
51.7432775,10.229702,200.0
50.0431406,11.486638,373.0
50.0430663,11.4864534,373.0
49.5729283,9.3541609,431.0
52.1046226,10.0346519,93.0
49.2541837,12.3629781,429.0
49.253504,12.3603867,435.0
49.4693098,8.7505224,436.0
51.1676199,8.485755,753.0
51.7753846,9.3798051,101.0
52.2282269,11.0094612,137.0
49.404912,8.8416647,122.0
52.3044471,11.0014453,127.0
52.3758526,9.7385781,64.0
50.7303253,8.8544668,246.0
52.2536935,9.0582999,124.0
52.2546718,9.0553093,104.0
49.026059,11.9911404,335.0
50.2181335,11.3907978,416.0
49.4497186,8.6912225,304.0
50.1402217,11.9281641,680.0
50.902857,10.4373067,419.0
49.2226183,11.645448,508.0
49.5600594,8.4903509,100.0
49.3075075,10.9114497,423.0
50.1046852,10.7191668,360.0
51.281624,12.4597323,152.0
49.5606001,8.5832339,110.0
52.1326507,11.6378911,64.0
52.2741941,10.6150025,92.0
49.4227226,11.2123096,358.0
49.4364627,11.239888,443.0
49.5603648,9.7062946,219.0
49.0667617,12.0899449,339.0
51.073506,10.377497,356.0
49.4117232,8.8276296,133.0
49.0710193,9.7698564,372.0
49.510526,11.2578924,353.0
49.4931997,9.8167669,213.0
49.4932481,9.8167373,213.0
51.5555631,11.397655,339.0
49.2079495,12.0326982,344.0
49.3153985,10.6879164,463.0
51.7299484,10.5915575,667.0
51.7414058,10.5195881,777.0
51.1054454,11.9583732,236.0
49.753417,8.6981693,407.0
49.1839906,9.7020884,387.0
51.4964013,9.4743566,244.0
50.078162,10.2016256,288.0
52.117582,11.6399776,46.0
50.8263043,8.774277,201.0
52.3682228,8.9263412,68.0
51.4509988,11.9432048,92.0
52.3655287,9.9737628,59.0
52.3536566,9.3972061,55.0
49.3891356,9.1794309,217.0
49.7929752,9.9240121,187.0
50.6474551,8.6717688,187.0
50.1381403,8.6541051,117.0
52.4305683,9.4294964,43.0
52.3583307,9.7427321,50.0
52.355565,9.7450825,50.0
52.351749,9.7481491,52.0
50.3532305,8.7653403,135.0
51.9511497,9.0987085,176.0
49.1329041,9.7513227,373.0
52.0031435,13.0545161,93.0
51.86467,9.0962077,135.0
50.5192291,12.382346,542.0
50.7877348,10.2086763,302.0
50.633368,9.9246322,497.0
51.3367932,12.372476,120.0
49.9435299,11.0256736,381.0
52.4189907,10.7839068,73.0
49.9037078,10.9517762,305.0
49.4193735,8.4885909,94.0
49.6809372,9.7793886,316.0
49.2727083,9.3514127,287.0
49.1971949,9.3497023,232.0
50.403529,8.7853878,202.0
52.4189219,10.785417,70.0
49.6824061,11.4101972,518.0
50.0526787,10.2983306,212.0
50.9719569,11.0320812,197.0
52.37498,9.7429261,61.0
49.9903862,8.6462345,120.0
49.0866391,13.2435853,707.0
49.8183796,9.8789388,185.0
49.8336483,9.8993199,265.0
49.8242107,9.8811185,193.0
52.2467906,10.7973348,173.0
49.3319649,12.1021357,357.0
50.5968119,12.3319227,466.0
49.8773977,8.6468832,143.0
49.8704141,8.6747897,163.0
49.8244022,9.8736075,175.0
49.8251286,9.8721161,178.0
49.5922267,11.0042313,284.0
50.3563092,9.5247097,217.0
51.9120756,9.1597891,181.0
49.8106248,8.5066932,91.0
51.563381,12.342702,95.0
50.9026394,12.899421,295.0
49.8616589,8.6218693,125.0
50.6823097,8.6746769,191.0
52.3764595,9.7392317,62.0
51.6552573,8.6959683,174.0
50.3475712,9.5232738,205.0
52.2639577,10.5192304,76.0
49.5114755,11.8989057,447.0
50.9560623,10.6769744,334.0
50.9576139,10.6705442,364.0
50.9578285,10.671402,361.0
51.3117805,12.3220673,120.0
49.9116676,10.8318115,238.0
50.0188227,8.6962781,136.0
50.513212,9.2177169,655.0
50.5143269,9.2157782,636.0
52.257684,9.1956581,364.0
52.0749868,13.169123,59.0
52.1267616,11.6387452,50.0
49.462287,11.0926782,321.0
52.1359331,11.6430721,59.0
52.1331214,11.6393829,62.0
49.3664219,11.4089301,394.0
49.8570344,10.9822109,276.0
49.0197673,11.4780372,384.0
50.4031945,8.4501384,405.0
52.1376377,11.637395,59.0
50.4770456,8.90132,141.0
52.294032,10.8425895,104.0
49.8184593,9.9625676,224.0
49.828467,11.37858,410.0
52.0099915,11.7168687,53.0
50.584324,8.6802836,162.0
51.2792392,9.4531916,158.0
50.9144398,11.5358547,369.0
49.6576007,10.1649031,208.0
49.4096879,8.6920076,123.0
49.3495484,8.6901612,119.0
49.8256617,9.978904,230.0
